Article,Group,Location_11,Location_21,Location_22,Location_23,Location_32,Location_33,Location_34,Location_35,Location_36,Location_37,Location_41,Location_42,Location_44,Location_45,Location_46,Location_50,Location_51,Location_61,Location_62,Location_64,Location_65,Main Material_BR,Main Material_CM,Main Material_COS,Main Material_CS,Main Material_CSg,Main Material_CcV,Main Material_ChM,Main Material_CtS,Main Material_DG,Main Material_DMa,Main Material_DS,Main Material_EF,Main Material_ExT,Main Material_FR,Main Material_FW,Main Material_GW,Main Material_MS,Main Material_MSW,Main Material_MStr,Main Material_PM,Main Material_RH,Main Material_RS,Main Material_SD,Main Material_SE,Main Material_SM,Main Material_SS,Main Material_VW,Main Material_WGP,Main Material_WS,Main Percentage_Percentage_30to60,Main Percentage_Percentage_below30,Main Percentage_Unknown,Secondary Material_COS,Secondary Material_CS,Secondary Material_ChM,Secondary Material_DG,Secondary Material_ExT,Secondary Material_FR,Secondary Material_FW,Secondary Material_GLR,Secondary Material_GW,Secondary Material_ISS,Secondary Material_LMD,Secondary Material_MS,Secondary Material_MStr,Secondary Material_PM,Secondary Material_RC,Secondary Material_RH,Secondary Material_RS,Secondary Material_SC,Secondary Material_SCL,Secondary Material_SD,Secondary Material_SM,Secondary Material_SMa,Secondary Material_SS,Secondary Material_WS,Secondary Material_nan,2nd Percentage_Percentage_30to60,2nd Percentage_Percentage_below30,2nd Percentage_Unknown,Addives_Type_Com,Addives_Type_Ino,Addives_Type_No Additive,Addives_Type_Org,Addives_Type_Ref,Pretreatment_Type_No Pretreatment,Pretreatment_Type_PhyP,Seed Type_BoC,Seed Type_CCab,Seed Type_CRos,Seed Type_Carr,Seed Type_CorS,Seed Type_Cres,Seed Type_Cucu,Seed Type_ERap,Seed Type_FRad,Seed Type_KomS,Seed Type_Lett,Seed Type_LsL,Seed Type_Pea,Seed Type_RRan,Seed Type_RiSe,Seed Type_SoyS,Seed Type_Toma,Seed Type_WRad,Seed Type_WhSe,Composting Tech_Re,Composting Tech_Tr,Composting Tech_Wd,Volume_Volume_100_to_1000,Volume_Volume_10_to_30,Volume_Volume_1k_to_3k,Volume_Volume_30_to_100,Volume_Volume_3k_to_10k,Volume_Volume_below10,Volume_Volume_huge,Ventilation_In,Ventilation_Tu,Ventilation_nan,TIME,Ambient Temperature,Stack Temperature,pHa,ECa,C/N Ratio,GI Label
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,18.5,18.5,7.54,2.389,26.08,64.98
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,18.61,21.83,7.6832,2.3586,25.73,64.356
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,18.92,39.9,7.8264,2.3282,25.38,63.732
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,13.59,45.92,7.9696,2.2978,25.03,63.108
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,13.09,39.8,8.1128,2.2674,24.68,62.484
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,13.49,33.98,8.256,2.237,24.33,61.86
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6,11.08,43.11,8.245,2.249,24.358,62.006
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,7,12.09,40.6,8.234,2.261,24.386,62.152
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,8,15.1,47.63,8.223,2.273,24.414,62.298
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,9,15.1,46.73,8.212,2.285,24.442,62.444
